Geneid,<2C (LG1),G1,S,G2M,>4C (GG2M),desc,class
Tb927.7.4440,3283.5,5454.0,5678.5,6120.5,7525.0,NAD dependent epimerase/dehydratase family  putative,>4C (GG2M)
Tb927.7.4450,612.5,5144.5,7165.0,7087.0,5577.5,SUMO-interacting motif-containing protein,S
Tb927.7.4460,4517.0,9688.5,9964.0,9993.5,11225.0,von Willebrand factor type A domain containing protein  putative,>4C (GG2M)
Tb927.7.4470,3341.5,3050.5,2238.0,2746.5,5457.5,hypothetical protein  conserved,>4C (GG2M)
Tb927.7.4480,612.5,2093.5,1899.0,1626.0,2351.0,adenosine 5'-monophosphoramidase  putative,>4C (GG2M)
Tb927.7.4490,11222.0,10279.5,10268.5,10314.0,10128.0,hypothetical protein  conserved,<2C (LG1)
Tb927.7.4500,6803.5,7799.5,8235.0,8663.0,7385.0,PX domain containing protein  putative,G2M
Tb927.7.4510,6628.0,3890.0,3260.0,4598.0,9194.5,Domain of unknown function (DUF4201)  putative,>4C (GG2M)
Tb927.7.4515,7540.5,3078.5,2510.5,2506.5,2773.0,Bardet-Biedl syndrome 18 protein,<2C (LG1)
Tb927.7.4520,5697.0,2820.5,2666.0,3452.5,3555.5,Thioredoxin-like  putative,<2C (LG1)
Tb927.7.4530,1460.0,7152.0,5792.5,5862.5,5161.0,hypothetical protein  conserved,G1
Tb927.7.4540,7974.0,5407.0,4938.0,3627.0,2243.5,hypothetical protein  conserved,<2C (LG1)
Tb927.7.4550,5142.5,3293.0,2939.0,2801.0,1281.5,Mitochondrial ribosomal protein L7/L12,<2C (LG1)
Tb927.7.4560,612.5,2051.0,2238.0,2009.0,1392.5,Histone acetyltransferase 1,S
Tb927.7.4570,2295.5,2741.5,2164.5,2629.5,4065.0,inosine-guanine nucleoside hydrolase,>4C (GG2M)
Tb927.7.4580,6498.0,7482.5,7556.5,7696.0,8026.0,Cornifin (SPRR) family  putative,>4C (GG2M)
Tb927.7.4590,612.5,4467.0,3978.5,2850.5,4330.5,chaperone protein DnaJ  putative,G1
Tb927.7.4600,7948.0,6220.0,6587.5,5728.5,5927.0,Calponin homology (CH) domain containing protein  putative,<2C (LG1)
Tb927.7.4610,8347.5,6963.0,6236.5,6626.0,7319.5,hypothetical protein  conserved,<2C (LG1)
Tb927.7.4620,1988.0,4203.5,3167.0,4070.5,5880.0,hypothetical protein  conserved,>4C (GG2M)
Tb927.7.4630,6194.5,2903.5,2961.0,3168.0,3586.0,Miro-like protein  putative,<2C (LG1)
Tb927.7.4640,6167.5,3941.5,5229.5,4446.0,3474.5,hypothetical protein  conserved,<2C (LG1)
Tb927.7.4645,6413.0,3179.0,3051.5,2988.5,3144.5,hypothetical protein,<2C (LG1)
Tb927.7.4650,9322.0,7479.0,6866.5,6205.5,6392.5,J Biosynthesis Protein 2,<2C (LG1)
Tb927.7.4660,612.5,3526.0,3697.0,3295.5,4051.0,hypothetical protein  conserved,>4C (GG2M)
Tb927.7.4670,1783.5,335.0,2369.0,1110.5,721.5,ribosomal RNA processing protein 4,S
Tb927.7.4680,6999.0,6401.0,6315.0,6138.0,5362.5,hypothetical protein  conserved,<2C (LG1)
Tb927.7.4690,6783.5,8349.5,8587.0,8264.5,8037.5,hypothetical protein,S
Tb7.NT.53,612.5,40.5,99.0,82.5,86.0,Noncoding RNA  putative,<2C (LG1)
Tb927.7.4700,2826.5,2687.5,1710.5,4070.5,6240.0,WD domain  G-beta repeat  putative,>4C (GG2M)
Tb927.7.4710,5001.5,2646.0,1848.0,2335.0,4096.5,Mitochondrial ribosomal protein L46,<2C (LG1)
Tb927.7.4720,8794.0,2772.5,4246.0,4818.5,4654.0,hypothetical protein,<2C (LG1)
Tb927.7.4730,2930.5,4830.0,4518.5,4612.5,3169.5,pumilio/PUF RNA binding protein 5,G1
Tb927.7.4740,6207.5,4207.5,3843.5,3194.5,3310.5,hypothetical protein  conserved,<2C (LG1)
Tb927.7.4750,5477.5,4908.0,4510.0,5617.5,5542.5,hypothetical protein  conserved,G2M
Tb927.7.4760,8524.0,7083.5,7137.0,6647.5,8006.0,hypothetical protein  conserved,<2C (LG1)
Tb927.7.4770,8012.0,5854.0,5379.0,4367.0,4377.5,cyclophilin-type peptidyl-prolyl cis-trans isomerase  putative,<2C (LG1)
Tb927.7.4780,612.5,1171.5,865.5,1085.0,1195.0,conserved hypothetical protein  putative,>4C (GG2M)
Tb927.7.4790,5682.0,700.5,1254.0,2120.5,1078.0,proteasome beta 6 subunit,<2C (LG1)
Tb927.7.4800,4879.5,2011.0,1945.0,1823.5,1958.0,hypothetical protein  conserved,<2C (LG1)
Tb927.7.4810,6344.5,4135.5,4139.5,3503.0,2661.5,HD domain containing protein  putative,<2C (LG1)
Tb927.7.4820,612.5,1371.5,1067.0,941.0,86.0,Trm112p-like protein  putative,G1
Tb927.7.4830,7292.0,3526.0,2673.0,3429.5,4693.0,kinesin  putative,<2C (LG1)
Tb927.7.4840,3741.5,5426.5,7061.5,6837.5,4635.5,hypothetical protein  conserved,S
Tb927.7.4850,6163.0,2062.0,2103.5,2184.5,1565.5,kinetoplastid kinetochore protein 5,<2C (LG1)
Tb927.7.4860,4817.0,4194.0,4670.0,4598.0,2977.5,kinetoplastid kinetochore protein 13,<2C (LG1)
Tb927.7.4870,8782.0,3492.0,3260.0,3837.0,3199.5,hypothetical protein  conserved,<2C (LG1)
Tb927.7.4880,612.5,1807.0,1268.0,1558.5,1027.5,hypothetical protein  conserved,G1
Tb927.7.4890,7991.5,5822.5,5861.5,6147.0,3638.0,Present in the outer mitochondrial membrane proteome 34,<2C (LG1)
Tb927.7.4900,9937.5,9560.0,9083.5,9323.0,8026.0,5'-3' exoribonuclease A,<2C (LG1)
Tb927.7.4910,5195.0,4703.0,4529.5,4290.5,5888.5,hypothetical protein  conserved,>4C (GG2M)
Tb927.7.4920,5181.0,6792.5,6147.0,6240.5,6344.5,hypothetical protein  conserved,G1
Tb927.7.4925,612.5,2106.0,2577.0,2697.5,1789.5,hypothetical protein,G2M
Tb927.7.4930,4298.5,2444.5,2577.0,2869.0,2454.0,ribonuclease H1,<2C (LG1)
Tb927.7.4940,612.5,7518.0,8257.5,6515.5,6074.0,serine peptidase  clan SC  family S9A-like protein,S
Tb927.7.4950,1460.0,4268.0,3801.5,4045.0,3836.0,NAD(P)-dependent steroid dehydrogenase protein  putative,G1
Tb927.7.4960,6842.0,4761.5,4944.0,4798.0,6112.5,hypothetical protein  conserved,<2C (LG1)
Tb927.7.4970,10639.0,9030.5,8206.5,8560.0,6975.5,glutamine synthetase  putative,<2C (LG1)
Tb927.7.4980,6270.5,2011.0,2075.5,1597.5,2336.0,Present in the outer mitochondrial membrane proteome 35,<2C (LG1)
Tb927.7.4990,2700.0,7533.5,7204.0,5704.5,5978.5,hypothetical protein  conserved,G1
Tb927.7.5000,612.5,373.5,471.5,273.5,287.0,60S ribosomal protein L19  putative,<2C (LG1)
Tb927.7.5010,612.5,4816.5,5164.0,4193.5,5499.0,hypothetical protein  conserved,>4C (GG2M)
Tb927.7.5020,1783.5,1068.5,1124.0,875.0,2389.0,60S ribosomal protein L19  putative,>4C (GG2M)
Tb927.7.5030,5154.5,4331.5,3987.0,3924.0,2427.0,hypothetical protein  conserved,<2C (LG1)
Tb927.7.5040,6984.5,4072.5,5001.0,7571.0,10697.5,kinesin  putative,>4C (GG2M)
Tb927.7.5050,1783.5,919.5,189.5,687.0,9200.0,hypothetical protein  conserved,>4C (GG2M)
Tb927.7.5060,8423.0,5641.5,5902.5,5662.0,6602.0,CLN3 protein  putative,<2C (LG1)
Tb927.7.5070,5349.0,1635.5,1137.0,1261.0,3295.5,hypothetical protein,<2C (LG1)
Tb927.7.5080,6426.0,6992.5,6986.5,6626.0,4635.5,ATP-NAD kinase-like protein,G1
Tb927.7.5090,10315.0,9331.5,9353.5,9642.5,9386.5,condensin complex subunit 2  putative,<2C (LG1)
Tb927.7.5100,5330.0,3740.5,5044.5,4409.0,4480.5,hypothetical protein  conserved,<2C (LG1)
Tb927.7.5110,9751.0,8463.0,9087.0,8688.0,10068.0,hypothetical protein  conserved,>4C (GG2M)
Tb927.7.5120,8559.0,5407.0,4632.5,5926.0,9095.5,SpoU rRNA Methylase family  putative,>4C (GG2M)
Tb927.7.5130,6220.0,8355.0,8060.5,7762.0,8597.0,hypothetical protein  conserved,>4C (GG2M)
Tb927.7.5140,1783.5,1817.5,2023.5,1779.5,933.5,hypothetical protein  conserved,S
Tb927.7.5150,10914.5,11077.0,10785.0,10796.5,8012.5,hypothetical protein  conserved,G1
Tb927.7.5160,4418.5,4251.5,5197.0,2919.0,4276.5,deoxyuridine triphosphatase  putative,S
Tb927.7.5170,2598.0,4111.5,5084.5,3102.5,2525.0,60S ribosomal protein L25,S
Tb927.7.5180,2747.5,498.0,615.0,737.0,797.5,60S ribosomal protein L23a  putative,<2C (LG1)
Tb927.7.5190,9898.5,10769.5,11140.0,11120.5,10797.0,hypothetical protein  conserved,S
Tb927.7.5200,8614.5,9927.5,10194.0,9693.0,9234.5,hypothetical protein  conserved,S
Tb927.7.5210,10393.0,10971.0,10635.5,10742.0,10235.0,Putative Phosphatase/Protein of unknown function DUF89  putative,G1
Tb927.7.5220,11217.0,10116.5,10247.0,10035.0,10550.0,Forkhead Kinase  putative,<2C (LG1)
Tb927.7.5230,10359.0,10877.0,10829.0,10925.0,10040.0,lanosterol synthase,G2M
Tb927.7.5240,7780.5,9954.5,10051.0,10080.0,10753.5,Flagellum attachment zone protein 21,>4C (GG2M)
Tb927.7.5250,8729.0,7642.0,7923.5,8637.5,8057.5,hypothetical protein  conserved,<2C (LG1)
Tb927.7.5260,4397.0,3890.0,3779.5,4623.0,2857.0,Cytochrome c oxidase biogenesis protein Cmc1 like  putative,G2M
Tb927.7.5270,5291.5,2051.0,4316.5,3687.5,1062.5,hypothetical protein  conserved,<2C (LG1)
Tb927.7.5280,10792.5,11524.0,11496.0,11479.5,11449.0,kinetoplast ribosomal PPR-repeat containing protein 19,G1
Tb927.7.5290,6426.0,8636.5,9016.0,8935.0,8657.0,hypothetical protein  conserved,S
Tb927.7.5300,5162.5,7252.5,7807.0,7592.5,9786.0,C2 domain/Ankyrin repeats (3 copies)  putative,>4C (GG2M)
Tb927.7.5310,9731.0,10116.5,10255.0,9666.0,10083.5,YEATS family  putative,S
Tb927.7.5320,8306.5,8831.0,8896.0,9060.0,4244.5,hypothetical protein  conserved,G2M
Tb927.7.5330,10406.5,9843.5,9598.0,9346.0,7745.5,hypothetical protein  conserved,<2C (LG1)
Tb927.7.5340,10830.0,10559.0,10510.0,10322.5,10368.0,cAMP response protein 3,<2C (LG1)
Tb927.7.5350,6227.5,10230.0,10602.5,9919.5,9542.0,hypothetical protein  conserved,S
Tb927.7.5360,9073.0,4503.0,5661.5,4381.0,2977.5,Haemolysin-III related  putative,<2C (LG1)
Tb927.7.5370,10992.5,11328.0,11137.0,11346.0,11115.0,hypothetical protein  conserved,G2M
Tb927.7.5380,3478.0,3515.0,4662.5,4772.5,4014.5,Double RNA binding domain protein 12,G2M
Tb927.7.5390,2574.5,9683.0,10151.0,9885.5,10472.5,hypothetical protein  conserved,>4C (GG2M)
Tb927.7.5400,10528.0,9554.0,9402.5,10135.0,9110.0,hypothetical protein  conserved,<2C (LG1)
Tb927.7.5410,9304.0,10098.0,10175.0,10368.0,9021.5,hypothetical protein  conserved,G2M
Tb927.7.5420,7606.5,8100.5,7274.0,7511.5,8063.0,hypothetical protein  conserved,G1
Tb927.7.5430,9325.5,10299.5,10405.5,10506.5,9440.0,hypothetical protein  conserved,G2M
Tb927.7.5440,11518.0,11368.0,11400.0,11358.0,11177.0,hypothetical protein  conserved,<2C (LG1)
Tb927.7.5450,4233.5,7176.5,7220.5,7797.0,7325.0,lipin,G2M
Tb927.7.5460,4057.5,1530.0,2653.0,3429.5,4508.5,exosome-associated protein 3,>4C (GG2M)
Tb927.7.5470,5598.0,7422.5,7696.5,8110.0,6729.5,Present in the outer mitochondrial membrane proteome 36,G2M
Tb927.7.5480,10552.0,9910.5,9918.0,8963.0,7177.5,dihydrofolate reductase-thymidylate synthase,<2C (LG1)
Tb927.7.5490,1783.5,9536.0,8587.0,8560.0,6234.5,protein arginine n-methyltransferase 7,G1
Tb927.7.5500,10073.0,10711.5,10579.5,10723.0,9252.0,hypothetical protein  conserved,G2M
Tb927.7.5510,1460.0,6124.0,5286.0,4394.5,2016.0,hypothetical protein  conserved,G1
Tb927.7.5520,8033.0,8183.5,7813.0,7979.5,5972.0,peptidyl-tRNA hydrolase  putative,G1
Tb927.7.5530,9097.0,6023.5,4568.5,4872.5,3566.5,hypothetical protein  conserved,<2C (LG1)
Tb927.7.5540,9318.0,9942.5,9573.0,9818.5,9507.0,2 4-dienoyl-coa reductase-like protein,G1
Tb927.7.5550,9003.5,8384.5,8299.5,9769.0,5963.0,TLD  putative,G2M
Tb927.7.5560,6000.5,8735.5,9483.5,9518.5,9957.0,glucosamine-fructose-6-phosphate aminotransferase  putative,>4C (GG2M)
Tb927.7.5570,7810.0,6813.0,5875.5,6598.5,6363.0,cell cycle associated protein MOB1-A,<2C (LG1)
Tb927.7.5580,9704.5,8818.5,9169.5,9435.0,8624.5,cell cycle associated protein MOB1-B,<2C (LG1)
Tb927.7.5590,9755.0,10982.0,11151.5,11092.0,10557.5,Domain of unknown function (DUF3883)  putative,S
Tb927.7.5600,7023.5,9703.0,9189.0,9129.0,9994.0,leucine-rich repeat protein (LRRP)  putative,>4C (GG2M)
Tb7.NT.62,1460.0,1211.0,1091.0,1416.5,1622.5,Noncoding RNA  putative,>4C (GG2M)
Tb927.7.5610,10682.0,8531.0,9318.0,9448.5,11588.0,hypothetical protein  conserved,>4C (GG2M)
Tb927.7.5615,2180.0,1823.0,2887.5,2483.5,2928.5,hypothetical protein,>4C (GG2M)
Tb927.7.5620,3179.0,6079.5,5445.5,5969.0,8489.5,SET domain containing protein  putative,>4C (GG2M)
Tb927.7.5630,11514.0,10266.5,10036.5,10283.5,8245.0,hypothetical protein  conserved,<2C (LG1)
Tb927.7.5640,5218.0,4928.0,5091.5,5551.0,6131.0,G-patch domain containing protein  putative,>4C (GG2M)
Tb927.7.5650,4817.0,8235.0,7426.0,7801.5,5301.0,kinesin  putative,G1
Tb927.7.5660,2855.0,1585.5,2453.0,2290.0,4345.5,Outer dynein arm docking complex protein 2  putative,>4C (GG2M)
Tb927.7.5670,1460.0,1303.5,1021.0,1875.5,2402.0,hypothetical protein  conserved,>4C (GG2M)
Tb927.7.5680,9393.5,6987.5,5577.5,5505.5,3748.5,deoxyribose-phosphate aldolase  putative,<2C (LG1)
Tb927.7.5690,3328.5,3150.0,3843.5,4097.0,8744.0,SUMO-interacting motif-containing protein,>4C (GG2M)
Tb927.7.5700,6632.0,10009.0,9133.5,8672.5,7249.5,peripherally associated ATOM36,G1
Tb927.7.5710,4253.5,8857.0,9537.5,9119.5,9056.0,hypothetical protein  conserved,S
Tb927.7.5720,3875.5,7689.5,7986.5,7105.5,7392.0,hypothetical protein  conserved,S
Tb927.7.5730,11555.0,10838.5,10993.0,10923.5,11008.0,hypothetical protein  conserved,<2C (LG1)
Tb927.7.5740,5737.5,9948.5,9783.5,9290.5,8241.0,conserved protein,G1
Tb927.7.5750,9176.5,8818.5,9725.0,9134.0,10421.0,Anaphase promoting complex-associated Protein AP2,>4C (GG2M)
Tb927.7.5760,1460.0,896.0,954.0,1466.0,6740.5,nuclear transport factor 2 protein  putative,>4C (GG2M)
Tb927.7.5770,2982.0,5095.5,3813.0,4355.5,4748.5,Nuclear Dbf2-related kinase,G1
Tb927.7.5780,10571.0,9382.0,9646.5,9766.0,8898.5,thioredoxin  putative,<2C (LG1)
Tb927.7.5790,4305.5,2416.5,1289.5,2120.5,2847.0,protein disulfide isomerase  putative,<2C (LG1)
Tb927.7.5795,6131.0,5953.5,5564.0,6582.5,6153.5,hypothetical protein,G2M
Tb927.7.5800,612.5,373.5,161.0,397.5,559.5,hypothetical protein,<2C (LG1)
Tb927.7.5810,10841.0,8192.0,8529.5,8942.5,8471.0,Protein of unknown function (DUF1637)  putative,<2C (LG1)
Tb927.7.5820,5734.0,7252.5,7137.0,7479.0,7988.0,Monooxygenase  putative,>4C (GG2M)
Tb927.7.5830,2460.0,774.5,907.5,1056.5,3021.0,hypothetical protein  conserved,>4C (GG2M)
Tb927.7.5840,8218.0,7116.0,6556.0,7327.0,7541.0,hypothetical protein  conserved,<2C (LG1)
Tb927.7.5850,4153.0,4172.0,5829.0,3588.0,1691.0,hypothetical protein  conserved,S
Tb927.7.5860,1460.0,2214.5,1623.0,1479.0,1958.0,hypothetical protein,G1
Tb927.7.5870,4601.0,2795.0,1783.0,2038.5,1504.0,hypothetical protein  conserved,<2C (LG1)
Tb927.7.5880,4872.5,4084.5,4749.0,5386.0,4468.5,cis-prenyltransferase-like protein,G2M
Tb927.7.5890,10540.0,10852.0,10632.0,10811.0,10245.0,hypothetical protein  conserved,G1
Tb927.7.5900,2714.5,6754.0,6211.0,7380.5,4975.5,Autophagy-related protein 8.1,G2M
Tb927.7.5910,8733.5,9358.5,9255.0,9420.5,8802.0,Autophagy-related protein 8.2,G2M
Tb927.7.5920,2094.5,8317.0,8825.5,8802.5,6932.5,mercaptopyruvate sulfurtransferase  putative,S
Tb927.7.5930,6870.5,7290.5,8108.5,7651.5,7566.0,Protein Associated with Differentiation 1,S
Tb927.7.5940,9056.5,8712.0,9255.0,8935.0,8393.5,Protein Associated with Differentiation,S
Tb927.7.5950,9506.0,3150.0,3578.0,4221.0,4451.0,protein associated with differentiation 3  putative,<2C (LG1)
Tb927.7.5960,7292.0,9492.5,9504.5,9527.5,10205.5,protein associated with differentiation 4  putative,>4C (GG2M)
Tb927.7.5970,6173.0,8770.0,8615.5,9134.0,8353.5,protein associated with differentiation 5  putative,G2M
Tb927.7.5980,8095.5,10396.0,10488.0,10246.5,10820.0,protein associated with differentiation 6  putative,>4C (GG2M)
Tb927.7.5990,6459.5,10138.0,9832.5,10477.5,9925.5,protein associated with differentiation 7  putative,G2M
Tb927.7.6000,9366.0,9845.5,10420.0,10566.5,9720.5,protein associated with differentiation 8  putative,G2M
Tb927.7.6010,10794.5,6911.5,7712.0,7132.0,9601.5,hypothetical protein,<2C (LG1)
Tb927.7.6020,6610.0,8163.5,8536.5,8036.0,7655.5,hypothetical protein,S
Tb927.7.6030,8562.5,2206.0,2778.0,2554.0,5761.0,hypothetical protein,<2C (LG1)
Tb927.7.6040,9333.0,11185.0,11241.0,11220.5,10804.0,receptor-type adenylate cyclase GRESAG 4  putative,S
Tb927.7.6050,10850.0,11582.0,11572.0,11551.0,11364.5,receptor-type adenylate cyclase GRESAG 4  putative,G1
Tb927.7.6060,8853.0,11115.0,11171.0,11086.5,11015.0,receptor-type adenylate cyclase GRESAG 4  putative,S
Tb927.7.6070,11272.0,11605.0,11589.0,11610.0,11551.0,receptor-type adenylate cyclase GRESAG 4  putative,G2M
Tb927.7.6080,9718.5,10814.0,10910.5,10931.0,10497.5,receptor-type adenylate cyclase GRESAG 4  putative,G2M
Tb927.7.6090,1783.5,1827.5,1623.0,2335.0,3386.5,eukaryotic translation initiation factor 3 subunit a,>4C (GG2M)
Tb927.7.6100,5697.0,7512.0,7324.0,7291.5,6123.0,hypothetical protein,G1
Tb927.7.6110,9243.5,7366.5,6178.5,6067.5,4597.5,Protein of unknown function (DUF3522)  putative,<2C (LG1)
Tb927.7.6130,4956.5,3711.5,3843.5,3029.0,2692.0,Protein of unknown function (DUF3522)  putative,<2C (LG1)
Tb927.7.6150,3437.5,5017.0,3167.0,3545.0,2870.0,Protein of unknown function (DUF3522)  putative,G1
Tb927.7.6170,8340.5,3658.5,2251.5,3205.5,3365.0,Protein of unknown function (DUF3522)  putative,<2C (LG1)
Tb927.7.6180,612.5,498.0,427.0,111.0,213.0,hypothetical protein  conserved,<2C (LG1)
Tb927.7.6190,4219.0,6650.5,5307.5,5799.5,6137.0,Ring finger domain containing protein  putative,G1
Tb927.7.6200,4894.5,6295.0,5474.5,6397.5,4703.5,chaperone protein DnaJ  putative,G2M
Tb927.7.6210,9832.0,8914.5,6664.0,8219.0,8738.5,hypothetical protein  conserved,<2C (LG1)
Tb927.7.6220,5718.0,8054.5,6616.5,8502.0,10021.5,calcium/calmodulin-dependent protein kinase  putative,>4C (GG2M)
Tb7.NT.76,4713.5,908.5,832.0,925.0,778.5,Noncoding RNA  putative,<2C (LG1)
Tb927.7.6230,7677.5,4521.5,4680.0,4146.0,3185.0,ADP-ribosylation factor  putative,<2C (LG1)
Tb927.7.6240,6546.5,8027.5,7457.0,8282.5,5509.0,hypothetical protein  conserved,G2M
Tb927.7.6250,2855.0,3579.0,3189.5,4699.5,5024.5,Centrosomal protein of 120 kDa  putative,>4C (GG2M)
Tb927.7.6260,4569.0,8340.0,8582.5,8094.5,7871.0,TPR repeat  putative,S
Tb927.7.6270,9792.5,9184.0,8596.0,8966.5,9231.5,peptidase t  putative,<2C (LG1)
Tb927.7.6280,4840.5,7518.0,7442.5,7377.0,7192.0,Domain of unknown function (DUF3508)  putative,G1
Tb927.7.6290,8606.5,10028.0,8994.0,9854.0,10875.5,kinesin  putative,>4C (GG2M)
Tb927.7.6300,6459.5,10805.5,10853.0,10744.5,10383.0,WD domain  G-beta repeat  putative,S
Tb927.7.6310,1914.0,2020.5,2092.5,3185.0,6190.0,polo-like protein kinase,>4C (GG2M)
Tb927.7.6320,7602.5,9781.5,8876.0,8440.0,9092.5,BTB/POZ domain/Regulator of chromosome condensation (RCC1) repeat  putative,G1
Tb927.7.6330,5174.0,1595.5,1446.0,2237.0,2050.0,hypothetical protein,<2C (LG1)
Tb927.7.6340,1783.5,6830.0,7304.5,8116.5,8602.0,hypothetical protein  conserved,>4C (GG2M)
Tb927.7.6350,10668.0,7137.0,8012.0,7236.0,6564.5,NADH dehydrogenase [ubiquinone] flavoprotein 2  mitochondrial,<2C (LG1)
Tb927.7.6360,3013.5,799.5,980.0,1805.5,3310.5,histone H2A variant Z,>4C (GG2M)
Tb927.7.6370,4826.0,5002.0,4510.0,3666.5,3618.5,Zinc finger  C3HC4 type (RING finger)  putative,G1
Tb927.7.6380,2295.5,1087.5,1103.0,773.0,818.0,ssm4 protein  putative,<2C (LG1)
Tb927.7.6390,1460.0,5935.5,5981.0,4252.5,6420.0,SUMO-interacting motif-containing protein,>4C (GG2M)
Tb927.7.6400,1783.5,2457.0,2399.5,1922.5,3169.5,hypothetical protein  conserved,>4C (GG2M)
Tb927.7.6410,9764.0,9290.5,9771.5,9408.5,8883.5,hypothetical protein  conserved,S
Tb927.7.6420,3142.5,3023.5,2360.0,2237.0,2589.5,hypothetical protein  conserved,<2C (LG1)
Tb927.7.6430,1460.0,823.0,448.0,313.5,347.0,hypothetical protein,<2C (LG1)
Tb927.7.6440,6274.5,7597.0,8407.5,8904.0,7753.0,vesicle transport v-SNARE protein  putative,G2M
Tb927.7.6450,6251.5,6186.0,6744.5,4355.5,5824.0,tRNA-dihydrouridine synthase 3  putative,S
Tb927.7.6460,6470.0,10047.5,9041.0,9799.5,10042.0,Defective in exine formation 1 homolog  putative,G1
Tb927.7.6465,6357.5,4181.5,5537.0,3837.0,4145.0,hypothetical protein,<2C (LG1)
Tb927.7.6470,5393.5,6992.5,7856.0,6728.0,4403.5,metallo-peptidase  Clan MK  Family M67,S
Tb927.7.6480,4544.0,9004.5,9798.5,9499.0,7069.0,hypothetical protein  conserved,S
Tb927.7.6490,9380.5,9820.0,9956.5,9936.5,7347.5,hypothetical protein  conserved,S
Tb927.7.6500,11034.0,11340.0,11407.0,11385.0,10974.0,variant surface glycoprotein (VSG)  putative,S
Tb927.7.6510,612.5,1781.0,2092.5,2302.0,818.0,variant surface glycoprotein  degenerate,G2M
Tb927.7.6520,4865.5,3734.0,3503.0,3773.5,1472.0,variant surface glycoprotein  frameshift,<2C (LG1)
Tb927.7.6530,7258.0,4950.0,5109.5,4146.0,4988.5,variant surface glycoprotein  degenerate,<2C (LG1)
Tb927.7.6540,8643.5,3813.5,3745.0,3785.5,3006.0,variant surface glycoprotein (VSG  atypical)  putative,<2C (LG1)
Tb927.7.6550,6828.0,11003.5,10817.0,11116.5,10245.0,hypothetical protein  conserved,G2M
Tb927.7.6560,9886.0,10962.5,10572.0,11071.0,9857.0,hypothetical protein  conserved,G2M
Tb927.7.6570,4776.0,5128.0,3668.5,4193.5,2692.0,Enriched in surface-labeled proteome protein 17,G1
Tb927.7.6580,10599.5,11188.0,11092.0,10873.0,10342.0,hypothetical protein,G1
Tb927.7.6590,9054.0,10034.0,10446.5,10429.5,8546.5,hypothetical protein  conserved,S
Tb927.7.6600,3711.5,6403.5,5696.5,5024.0,3825.5,hypothetical protein  conserved,G1
Tb927.7.6610,3341.5,8408.5,7399.0,7651.5,8553.5,hypothetical protein  conserved,>4C (GG2M)
Tb927.7.6620,5542.0,9358.5,10110.0,9926.0,9699.5,Probable N6-adenine methyltransferase  putative,S
Tb927.7.6630,9994.0,7956.0,7622.5,7361.0,10457.0,Kinetochore interacting protein 5,>4C (GG2M)
Tb927.7.6640,10578.0,7981.0,8752.5,8607.5,10239.0,hypothetical protein  conserved,<2C (LG1)
Tb927.7.6650,10097.0,10360.0,11036.5,10815.0,10485.0,Colon cancer-associated protein Mic1-like  putative,S
Tb927.7.6660,1460.0,1661.5,1612.0,989.0,761.5,chaperone protein DnaJ  putative,G1
Tb927.7.6670,11596.0,11377.0,11330.0,11413.0,11334.0,hypothetical protein  conserved,<2C (LG1)
Tb927.7.6680,2504.5,5985.5,5848.5,4381.0,3413.5,STE/STE11 serine/threonine-protein kinase  putative,G1
Tb927.7.6690,9031.5,9869.5,9405.0,9043.0,10158.5,Trypanosoma specific protein  unknown function,>4C (GG2M)
Tb927.7.6700,7104.0,7741.5,7404.5,8498.5,4403.5,hypothetical protein,G2M
Tb927.7.6710,1460.0,3775.5,3801.5,4166.5,5034.5,hypothetical protein,>4C (GG2M)
Tb927.7.6720,612.5,5717.0,6495.5,6192.0,3431.5,hypothetical protein  conserved,S
Tb927.7.6730,5658.5,8312.5,8476.0,9068.5,6247.5,hypothetical protein  conserved,G2M
Tb927.7.6740,1914.0,3385.5,4148.5,5137.0,2389.0,ATPase family associated with various cellular activities (AAA)  putative,G2M
Tb927.7.6750,4298.5,8297.5,8907.0,6626.0,8762.0,hypothetical protein  conserved,S
Tb927.7.6760,5876.5,9205.5,8658.5,8974.0,6206.0,hypothetical protein  conserved,G1
Tb927.7.6770,1460.0,2877.0,2931.0,2940.5,2898.5,Acyl CoA binding protein  putative,G2M
Tb927.7.6780,6706.0,7095.5,7399.0,7625.0,5470.5,hypothetical protein,G2M
Tb927.7.6790,10525.5,9198.0,8466.5,8904.0,9621.0,hypothetical protein  conserved,<2C (LG1)
Tb927.7.6800,9519.5,7804.5,7797.5,6761.5,7029.5,LSU ribosomal protein  mitochondrial  putative,<2C (LG1)
Tb927.7.6810,9838.0,11295.0,11343.0,11351.0,11037.0,EF-hand domain pair  putative,G2M
Tb927.7.6820,4617.0,952.0,1164.0,1391.5,874.5,hypothetical protein  conserved,<2C (LG1)
Tb927.7.6821,3295.0,2296.0,2036.0,2102.5,1717.0,tRNA Alanine,<2C (LG1)
Tb927.7.6822,4449.5,2160.0,2251.5,1726.5,1860.5,tRNA Serine,<2C (LG1)
Tb927.7.6823,6061.5,2561.0,2717.5,2456.5,3021.0,tRNA Aspartic acid,<2C (LG1)
Tb927.7.6824,6270.5,2490.5,2887.5,2237.0,3353.0,tRNA Aspartic acid,<2C (LG1)
Tb927.7.6825,4501.0,2198.0,2465.5,2223.0,1958.0,tRNA Serine,<2C (LG1)
